Stock,Market cap (in Rs Cr.),Current price,PE Ratio,52 Week High,% Below 52 week high,52 Week Low,% Above 52 Week low,Yesterday Closing Price,% Change,,,,,,,,,,,,,,,
L&T Technology,36421.23,3446.95,34.13,5714,39.68%,2923.35,17.91%,3640.5,-5.32%,,,,,,,,,,,,,,,
Yesbank,57937.94,20.15,45.52,24.75,18.59%,12.11,66.39%,19.9,1.26%,,,,,,,,,,,,,,,
Gland Pharma,23948.97,1453.65,23.28,3773.95,61.48%,1450,0.25%,1497.85,-2.95%,,,,,,,,,,,,,,,
Hawkins Cooker,3273.16,6195,34.69,6572.75,5.75%,4932.05,25.61%,6169.85,0.41%,,,,,,,,,,,,,,,
MTAR,5182.99,1688.15,70.16,2409.15,29.93%,1211.85,39.30%,1670.5,1.06%,,,,,,,,,,,,,,,
Vaibhav Global,4927.69,299,35.85,566.5,47.22%,288,3.82%,297.35,0.55%,,,,,,,,,,,,,,,
Atul Ltd,22715.52,7701.2,37.5,10859,29.08%,7602.15,1.30%,7679.85,0.28%,,,,,,,,,,,,,,,
MapmyIndia,5752.71,1071.5,65.24,1918.35,44.14%,1023.2,4.72%,1069.9,0.15%,,,,,,,,,,,,,,,
Sun pharma,247191.65,1031.05,60.4,1070.95,3.73%,784.8,31.38%,1032.85,-0.17%,,,,,,,,,,,,,,,
Caplin Point, , , , , , , , , ,,,,,,,,,,,,,,,
Cyient,9606.15,876,19.98,1051.85,16.72%,720,21.67%,883.3,-0.83%,,,,,,,,,,,,,,,
Varun Beverage,73698.48,1134.8,51.22,1432.05,20.76%,557.23,103.65%,1187.3,-4.42%,,,,,,,,,,,,,,,
Prince Pipe,6524.23,590.7,44.19,748,21.03%,513.1,15.12%,575.3,2.68%,,,,,,,,,,,,,,,
Jubilant FoodWorks,32766.28,498.25,69.25,806.4,38.21%,451.2,10.43%,488.55,1.99%,,,,,,,,,,,,,,,
Alkyl Amine,13811.70,2714.9,61.31,3797.6,28.51%,2506.2,8.33%,2750.75,-1.30%,,,,,,,,,,,,,,,
HDFC,478914.70,2619.25,19.81,2933.8,10.72%,2026,29.28%,2612.8,0.25%,,,,,,,,,,,,,,,
AU Small Finance,41307.13,619,31.44,732.98,15.55%,525,17.90%,628.15,-1.46%,,,,,,,,,,,,,,,
Hindustan Food,6502.44,578.05,114.36,749.15,22.84%,328.73,75.84%,580,-0.34%,,,,,,,,,,,,,,,
Solar Industries,38859.14,4338,63.66,4535.95,4.36%,2160.05,100.83%,4340.15,-0.05%,,,,,,,,,,,,,,,
Kotak Bank,354002.54,1780.5,25.87,1997.55,10.87%,1631,9.17%,1779.5,0.06%,,,,,,,,,,,,,,,
stove kraft,1639.28,498.5,30.76,1000,50.15%,472.2,5.57%,503.15,-0.92%,,,,,,,,,,,,,,,
Godrej Consumer,93678.86,916.75,58.81,955.65,4.07%,660.2,38.86%,914.9,0.20%,,,,,,,,,,,,,,,
Solara Active,1528.04,423, ,1156.35,63.42%,323.65,30.70%,427.8,-1.12%,,,,,,,,,,,,,,,
Kajaria Ceramic,17802.19,1118,46.87,1374.55,18.66%,885.3,26.28%,1112.5,0.49%,,,,,,,,,,,,,,,
Krisna dignostic,1347.59,429.35,20.29,778,44.81%,428.9,0.10%,436.85,-1.72%,,,,,,,,,,,,,,,
Metropolis Healthcare,7063.23,1380.05,45.85,3142,56.08%,1267.05,8.92%,1382.35,-0.17%,,,,,,,,,,,,,,,
Aarti Industries,21081.42,581.8,17.2,1118,47.96%,579,0.48%,592.4,-1.79%,,,,,,,,,,,,,,,
Subex,1992.01,36.2,593.93,54.5,33.58%,18.7,93.58%,36.05,0.42%,,,,,,,,,,,,,,,
